Polling Booth Name,Polling Booth Address,HearingAid,Braille,Interpreter Services,latitude,longitude
"Siv Shikshan Trust Prathmik School, (D.S. High school sanchalit )","Glr Floor Room No-1, Laxmi Baug, Near Railway station,  sion west Mumbai-400017",Yes,Yes,Yes,19.0443606,72.8609457
"Municipal Dispensary Heritage,","Shed B.M.C. Opp Near Mhada Builiding, Behind Dharavi Police Station, Dharavi Mumbai 400017",Yes,No,No,19.043054,72.85738119999999
"Partition - 1, Shed B.M.C.Hall","Partition - 1, Shed B.M.C.Hall , Opp Municipal Dispensary Heritage, Near  Mhada Builiding, Behind Dharavi Police Station, Dharavi Mumbai 400017",No,Yes,Yes,19.043054,72.85738119999999
"Partition - 2, Shed B.M.C.Hall","Partition - 2, Shed B.M.C.Hall , Opp Municipal Dispensary Heritage, Near  Mhada Builiding, Behind Dharavi Police Station, Dharavi Mumbai 400017",Yes,Yes,Yes,19.043054,72.85738119999999
"Room No-1,  Maulana Azad Primary English School,","Room No-1,  Maulana Azad Primary English School,  ,Opp. Block No 5, Behind Dharavi Polise station, Transit Camp, Dharavi Mumbai -400017",Yes,Yes,Yes,19.043054,72.85738119999999
N I E S English primary school,"Room no 1, N I E S English primary school, Transit camp, Municipal compound , Dharavi Mumbai 17",No,No,Yes,19.0428812,72.8595062
"Mumbai Public School Dharavi Transit Camp School sankul ( Municipal School),","shramik vidyapith Urdu School no 2, Room No.10 (left side chawl of school main gat) Dharavi road North, Mumbai - 400017",No,Yes,No,19.051833,72.8610851
"Mumbai Public School Dharavi Transit Camp School sankul  Municipal School, .","Mashal Sanstha mariya English high school begam bilkis latif jr college of commerce occational room No 26, Dharavi Road North, Mumbai  400017",Yes,Yes,No,19.0439928,72.8514007
Bharatmata health club,"Bharatmata health club , Vyayam Shala , M.G.Road ,Vijay nagar Block No 13, Transist Camp Dharavi Mumbai 400017",Yes,Yes,No,19.0415621,72.8591721
"Dr  Babasaheb Ambedkar Samaj Mandir Hall , Vijay nagar","Partition 1, Dr  Babasaheb Ambedkar Samaj Mandir Hall , M.G.Road, Vijay nagar Block No 13, Transist Camp Dharavi Mumbai 400017",No,No,Yes,19.0415621,72.8591721
Rajashri Shahu High School(Primary To Secondary) Rajarshi Shahu Arts Science   Commerce Jr College,room no 1 Ashok Mill Compound Sion Bandra Link Road Rohidas Marg Dharavi Mumbai-400017,No,No,Yes,19.0475755,72.8607605
Mumbai public school Kanadi chwal,"Mumbai public school Kanadi chwal, school bldg, Ground floor, room no 1, dharavi rd north, Mumbai 17",Yes,Yes,No,19.045573,72.85662430000001
Lokseva Mandal,"Room No-1, Behind Shani Mandir, Opp Vitthal Mandir, Kala Killa, Dharavi Mumbai 400017",Yes,Yes,No,19.0495993,72.8596712
Morning Star English School,"Room No- 1, Ashok Mil Compound, Shop No- 6 ( Near Dharavi Pumping Station) Adamji Peerbhai Chawl, Opp. Sion Bandra Link Road Mumbai 400017",Yes,Yes,No,19.0475707,72.8609714
DnyanJyoti Savitribai Fule High school,"Room No-1, PRE-Primary / Primary English Medium Behind Hanuman Mandir, Opp Piwala Bunglow, Sion Bandra Link Road, Dharavi Mumbai 400017",Yes,No,Yes,19.0477486,72.85557639999999
"Reality Gives, Unique Business Centre ( Aganwadi ),","Opp New Ganesh Vidya Mandir School, Behind Laxmi Temple, Dharavi Mumbai 400017",No,Yes,Yes,19.0431456,72.8546662
Shri Gajanan Co Op Hos  Society Ltd  Society Office,Shri Gajanan Co Op Hos  Society Ltd  Society Office  Shastri Nagar Dharavi Mumbai 400017,Yes,No,No,19.0461029,72.8561273
Green Place Co Op Hos Society Shed,Green Place Co Op Hos Society Shed  Shastri Nagar Dharavi Mumbai 400017,No,Yes,No,19.0454108,72.8558475
Good Shepherd English School,"Glr.Floor, Room No-1, Near Old Post Office, Dharavi Main Rod, Dharavi Mumbai 400017",No,No,Yes,19.0446686,72.8522163
Shankar Kawade Municipal School,"Ground Floor Room No- 1, Dharavi Cross Road, Dharavi Mumbai 400017",No,No,Yes,19.0419651,72.8524595
Shastri Nagar Mahanagar palika Primary Marathi School,"Ground Floor Room No -1, Dharavi Road South Mumbai -400017",No,Yes,No,19.0468973,72.85462509999999
"Sant Kakkaya Marg Vikas Associations Shri Ganesh Vidya Mandir (New),","Secondary Section, Gr. Floor Room No.1 Dharavi Cross Road, East, Mumbai 17",No,Yes,Yes,19.0419651,72.8524595
Sent Anthony High School,Plot no 980 Romm no 1 Dharavi Main Road NearOld Post Office Dharavi Cross Road East Mumbai 17,No,Yes,No,19.0468973,72.85462509999999
"Sant Kakkaya Marg ,Muncipal School (Mumbai Public School","Tadwadi lane Secondary Section, Gr. Floor Room No.1 Dharavi East, Mumbai 17",No,Yes,No,19.046777,72.85471
"New Life English School Nursy Junior   K.G,","Glr Floor Room No-1, Near Kamraj School, 90 Feet Road, Dharavi Mumbai 400017",Yes,Yes,No,19.0419306,72.8555173
Bombay South Indain Adi-Dravid Mahajan Sangh (B.S.I.A.S) English School,room no. 01 Agas Wadi Dharavi- Cross Road Mumbai-400017,Yes,No,Yes,19.0380334,72.8537589
Sri Sri Ravishankar Vidyamandir,"Ground floor room no. 01 ( N. D. G compound ) kalyanwadi - 5 Thevar Nagar, Behind ganesh Temple Dharavi-Mumbai 400017",Yes,Yes,Yes,19.0380334,72.8537589
"Saraswathi Vidya Bhavan,U.M. Thevar High School","room no. 01 Kalyan wadi -5, Near Ganesh Mandir Dharavi Mumbai 400017",Yes,Yes,Yes,19.0399924,72.8513727
"Vaibhav Co. op.society Parking Passage No 3,","Vaibhav Co. op.society Parking Passage No 3, Opp. Abhudaya Bank Dharavi Cross road, Dharavi Mumbai-400017",Yes,Yes,No,19.0415205,72.8507183
Vaibhav Co. op.society Parking Passage No 4,"Vaibhav Co. op.society Parking Passage No 4, Opp. Abhudaya Bank Dharavi Cross road, Dharavi Mumbai-400017",Yes,No,Yes,19.0415205,72.8507183
Vaibhav Co. op.society Parking,"Passage No 1, Opp. Abhudaya Bank Dharavi Cross road, Dharavi Mumbai-400017",No,Yes,No,19.0415205,72.8507183
Unison Foundation Welfare Centar,"Western india Veer Abdul Hamid Park W.I.T. Ground, Near Abhudaya Bank, Dharavi Mumbai 400017",No,No,Yes,19.0430282,72.8505983
Rasthmata Savitribai Fule Vihar,"partition no-1 , Anna Nagar, Opp Dr. Babasaheb Ambedkar School, Sant kakkya marg, Dharavi Mumbai 400017",No,No,Yes,19.0380334,72.8537589
"Bharat Ratna Dr. Baba Saheb Ambedkar Vidyalay,","Sant Kakayya Marg, Dharavi South Ground Floor Room No. 1, Mumbai 17",No,No,Yes,19.0438522,72.8545441
"Shri Ganesh Vidya Mandir Old Primary Section School,","Ground floor Room No -1, Sant Kakkya Marg, Dharavi (E) Mumbai -400017",Yes,No,No,19.043204,72.8542832
Gandhinagar Co.Op.Hu.So.L. Vyayam Shala and Samaj Kalyan Kendra,"Grl.Floor (Near Old Ganesh vidya mandir School ) Dharavi Cross road, Dharavi Mumbai 400017",No,No,No,19.0431456,72.8546662
"Sathi Co op hos Society Ltd,Parking","Parking No 1, Sathi Mini Hall, Sathi Co op hos Society Ltd, 90 Feet Road, Dharavi Mumbai  400017",No,Yes,Yes,19.0396839,72.8543017
"Vaibhav Sanskurtik Kendre, Near  Mumbai Public English School,","Vaibhav Sanskurtik Kendre, Near  Mumbai Public English School, Jasmin Mill Road,  Matunga Lubour camp, Mumbai 400019",No,No,No,19.0381943,72.85125769999999
Diomand Banquet Hall,"Diomand Banquet Hall,Jasmin Mill Road, Opp Baliga nagar Society, Mahim East Dharavi Mumbai 400017",Yes,No,No,19.0423745,72.84790749999999
"Dharavi Business mens  Welfare Association,","Dharavi Business mens  Welfare Association,  Banwari compound, Dharavi main road, Mahim Fatak Mahim East Dharavi Mumbai 400017",No,Yes,No,19.0446686,72.8522163
"Kamraj memorial english school, ground floor","Partition no 01, ground floor new bldg 90 feet rd dharavi mum 17",No,Yes,No,19.0383916,72.8541548
old kamraj school,room no. 01 ground floor near new kamraj memorial school 90 feet rd mum. 17,No,No,No,19.0419306,72.8555173
B.M.C Chowki,"Room No- 02, in Between B.M.C Building No G-13 and No.G -20, Near Shahu Nagar Police Station Mahim-East Mumbai 400019",No,No,Yes,19.0371737,72.8490747
"Mumbai Public School Matunga Labour Camp, No-2 School Sankul ( Municipal School ),",Ground Floor Room No- 13 (Office) Ambedkar road dharavi mumbai 400019,Yes,Yes,Yes,19.0362591,72.8511749
B. M. C. Chowki No- 3,"Near Tata Power, Matunga Labour Camp, Near Municipal School No-1, Matunga Mumbai 400019",Yes,Yes,No,19.0211125,72.854815
"Gandhi Memoriyal High School and Junior College,","Room No- 1, kamala nagar ( Near Sebastian Church )Matunga Labour Camp, Jasmin Mill Road, Dharavi Mumbai -400019",Yes,No,No,19.0405866,72.8498863
Gymkhana Kalyankari Bhadekaru Sangh,Shahu Nagar Dharavi Transist Camp Mumbai-400017,Yes,Yes,Yes,19.0418807,72.85782499999999
B.M.C Chowki in Between B.M.C Building No G-13 and No.G -20.,"Room No-1,Near Shahu Nagar Police Station Mahim-East Mumbai 400019",Yes,Yes,No,19.0371737,72.8490747
Mumbai Public School,Room No-1 Rajshri Shahu Nagar - Jasmin Mill Road Matunga Labour Mumbai 19,Yes,No,No,19.0398489,72.849938
Matunga Labour Camp B.M.C School No-3 ( Gandhi Memorial English Primary School),Gr Floor Room No-1 Dharavi Mumbai-400019,No,Yes,Yes,19.0269012,72.8553773
Dr.Babasaheb Ambedkar Samaj Mandir,"Hall Partition -1, Between ward A   B, Opp.MSEB, M.L.Camp, Mumbai 19",No,Yes,Yes,19.038225,72.85297
Maharashtra state Womens Councial Nursary School Abhilasha padmavati saraiya kendra,"Maharashtra state Womens Councial Nursary School,vocational training study center Ground floor Room No 1, Matunga Labour Camp, Mumbai 19",No,No,No,19.0383234,72.8514711
Children Education Society Banayan Tree english high school,"Children Education Society, Banayan Tree english high school,Ground floor Room No. 1, Matunga Labour Camp, Mumbai 19",No,No,No,19.0362411,72.8527385
Mumbai Public School Matunga Labour Camp.No 2 School Sankul ( Municipal School ),"Ground Floor Room No. 1, Dr.Babasaheb Ambedkar RoadDharavi, Mumbai 400019",No,No,Yes,19.02534,72.854373
"Mantunga Labour Camp Municipal School No.1,","ground floor dr. room no. 01 babasaheb ambedkar rd 1, Mumbai 19",No,No,No,19.0102608,72.8427023
Mahim Police Colony Mun. Marathi School,"Building No   2 Room no. 1. Mahim Machchhimar Colony Mahim , Mumbai 16",No,No,Yes,19.0367489,72.8441041
St. Xavier Technical Institute,"Old Building, Ground Floor, Room at the Right side Of Main door Mahim Causeway,(E) Mahim , Mumbai 16",No,No,Yes,19.0482894,72.83830139999999
St. Xavier Institute of Engineering.,"(New Building)Ground Floor, Seminar Hall A Room No.1 Mahim Causeway,(E) Mahim , Mumbai 16",Yes,No,No,19.0367489,72.8441041
"St. Xavier Engineering Institute,","New Building. Ground Floor, Basic Electrical Engineering Lab Mahim Causeway,(E) Mahim , Mumbai 16",No,Yes,Yes,19.0472297,72.8380103
"Municipal School Mahim Causeway,",Ground Floor. Mumbai 16,Yes,No,Yes,19.0759837,72.8776559
"K L Khilnani High School And Junior College,","Ground Floor, K G Room No. 1 Mori Road, Mahim, Mumbai-16",Yes,No,No,19.043049,72.8414769
"St. Michael High School,","Ground Floor, Room No. 5, Lady  Jamshetjee Road, Mahim,  Mumbai 16",Yes,Yes,No,19.026114,72.84111399999999
"Mumbai Public School, New Mahim School Complex,","Ground Floor Room No.07, Miya Mohammed Chhotani Road No. 4, Mahim, Mumbai 16",Yes,Yes,No,19.0397613,72.84514010000001
"Mumbai Public School, R. C. Mahim Municipal School Complex,","Ground Floor, Room No. 2, Lady Jamshetjee Cross Road No. 2 ,Mahim, Mumbai-16",No,No,Yes,19.0352579,72.8420965
"Cannosa Primary School, Primary Section,","Ground Floor, Stilt Parking, Partition A, Gabriel Road,  Mahim, Mumbai 16",No,No,Yes,19.038476,72.8432193
Anjuman-I-Islams Khalifha Ziauddin Girls Primary School.,"Ground Floor. Room No. A 1 Lady Jamshetjee Road Mahim, Mumbai - 16",Yes,Yes,Yes,19.0302475,72.8416927
Western RailwayCommunity Hall,"Hall A Railway Colony, Matunga, Takanadas Katariya Marg, Matunga, Mumbai - 19",No,Yes,Yes,19.0298993,72.84781869999999
"Saraswati Mandir Marathi Primary School,","CBSE Building, Ground Floor,  Room No. 02, Senapati Bapat Marg  Mahim, Mumbai 16",Yes,Yes,No,19.0356618,72.8477083
"Makarand Co-Op. Hou. Soc.-A,","Shefali Building, Ground Floor, Hall- A Veer Savarkar Marg Mahim, Mumbai - 16",Yes,Yes,Yes,19.0274096,72.8362006
"Western Railway Welfare Center,","Railway Colony, Matumga, Takandas Katariya Road, Matunga, Mumbai - 19",No,Yes,No,19.0298993,72.84781869999999
Central Railway Institute,"Hall A East Side Venden Avenue Road, Matunga, Mumbai - 19",No,Yes,Yes,19.0268747,72.8553352
Ramnath Prasad Hall,"Hall Gr. Floor, East Side Shitaladevi Temple Road Mahim",Yes,Yes,Yes,19.0353167,72.8433637
Tendulkar Hall,"Gr. Floor. Mogal Lane Mahim, Mumbai - 16",Yes,Yes,Yes,19.031576,72.846217
Victoria Primary School.,"Gr. Floor, Room No. 7, Lady Jamshetjee Road Mahim, Mumbai - 16",Yes,Yes,No,19.0375079,72.8427055
"Samaj Sadan Kendra Hall,","Gr. Floor, Telephone Colony, Pandit Satavalekar Marg Mogal Lane,Mahim , Mumbai - 16",Yes,Yes,Yes,19.031576,72.846217
"Lokmanya Vidyamandir,","Ground Floor, Open Gym Partition - A, Mahim, Mumbai 16",Yes,Yes,Yes,19.0353849,72.8423036
"Bombay Scottish School,","Ground Floor, North side, Room no. G/1/C Veer Savarkar Marg, Mahim,Mumbai - 16",Yes,No,Yes,19.034985,72.8391658
"Tatyasaheb Oak Memorial Hall,","Gr. Floor, Takanadas Katariya Marg, Mahim, Mumbai - 16",No,Yes,No,19.0319666,72.84121920000001
"Kasturba Mahila Mandal, Shivaji Park, Lions Primary   Secondery School (Gujarati Medium),","Gr. Floor Hall, Senapati Bapat Marg, Mahim, Mumbai - 16",Yes,No,No,19.0166272,72.84069319999999
"Victoria High School,","Annex, Ground Floor, Room No. K-5-B Lady Jamshetji Road Mahim, Mumbai - 16",Yes,No,No,19.0412054,72.8408412
"Mumbai Public School City of Los Angeles Municipal School Complex,","Gr. Floor, Room No. 1 Manamala Tank Road, Mahim, Mumbai - 16",Yes,No,No,19.1180869,72.8227161
"Mahim Head Post Office,","Open Space In Front of Office, Pendol, Partition - A, Takandas Kataria Road, Mahim-Mumbai-16",No,Yes,No,19.0319666,72.84121920000001
"D. G. Ruparel College,","Science Building Ground Floor, Room No. 26 A Bal Govinddas Road, Mahim, Mumbai - 16",Yes,Yes,Yes,19.0271798,72.842581
"Balamohan Vidyamandir,","Gr. Floor (North Side), Room No. 17, Dr. Madhukar B. Raut Marg, Dadar, Mumbai - 28",No,No,No,19.029289,72.83867699999999
"Mumbai Public School Dadar (Woolen Mills),","Ground Floor, Room No. GF/L-2, J. K. Sawant Road, Mahim, Mumbai-16",No,No,Yes,19.0279706,72.8433859
"Laxmi Narayan Baag Hall,","Hall North Side, Bal Govinddas Road, Mahim, Mumbai - 16",Yes,No,Yes,19.0270942,72.84266269999999
"Chhabildas Mula-Mulinche Vidyalaya, Dadar,","Gr. Floor, Room No.27, Chhabildas Road, Dadar, Mumbai - 28",Yes,Yes,Yes,19.0200417,72.8423586
"Vanita Samaj, Stilt Parking,","Ground Floor, Swa. Veer Savarkar Marg (West), Dadar, Mumbai - 28",Yes,No,Yes,19.0156307,72.8275342
"Brahamn S. Sangh. Rationing Office No. 19-A,","19-A, Officer Room, Shivaji Park Road No. 3, Dadar, Mumbai - 28",Yes,No,Yes,19.0247247,72.83979260000001
"Balmohan Vidya Mandir,","Gr. Floor, (South Side), Room No. 1,Dr. Madhukar B. Raut Road, Dadar, Mumbai - 28.",No,Yes,No,19.0285454,72.84031
"Antonia DSilva High School,","New Building Ground Floor Room No.  C 10 C S.K. Bole Road Dadar, Mumbai-28",Yes,Yes,No,19.0195226,72.8402976
"Indian Education Societies,","Ashlane English Medium School, Gr. Floor, Hall, Partition-A D. S. Babrekar Marg, Dadar, Mumbai - 28",No,No,Yes,19.02253,72.8345554
"Suryavanshi Kshatriya Sabhagrah, Hall B,","Hall B, Ground Floor, (East Side), Swa. Veer Savarkar Marg (West), Dadar, Mumbai - 28",Yes,No,No,19.0156307,72.8275342
"Suryavanshi Kshatriya Sabhagruh,","Hall, Ground Floor, Partition B (East Side), Swa. Veer Savarkar Marg (West), Dadar, Mumbai - 28",Yes,No,Yes,19.0156307,72.8275342
"Chhabildas English Medium,","Ground Floor, LKG Room,Chhabildas Marg, Dadar, Mumbai - 28",Yes,Yes,No,19.0177989,72.84781199999999
"Dr.Antonio Dsilva High school,","Old Building Gr. Floor, Room No. 16, Rao Bahadur S. K. Bole Road,Dadar, Mumbai - 28",No,No,No,19.0186449,72.83383230000001
Suryavanshi Kshatriya Sabhagruh,"Hall Gr. Floor Partition A, (West Side), Swa. Veer Savarkar Marg (West), Dadar, Mumbai - 28",No,No,No,19.0156307,72.8275342
"Kriti M. Doongursee College,","Ground Floor, Hall-A Kashinath Dhuru Road (North), Dadar, Mumbai - 28",Yes,No,Yes,19.0204516,72.83141619999999
"Amar Hind Mandal Hall-A,","Hall-A, Gr. Floor (East Side) Gokhale Road (North), Dadar, Mumbai - 28",No,No,Yes,19.0217439,72.83775849999999
"Amar Hind Mandal Hall-B,","Hall-B, Gr. Floor (West Sade) Gokhale Road (North), Dadar, Mumbai - 28",Yes,Yes,No,19.0217439,72.83775849999999
"Our Lady Of Salvation Highschool,","Gr. Floor, K. G. Class-A Rao Bahadur S. K. Bole Road, Dadar, Mumbai - 28",Yes,No,Yes,19.0183642,72.8327158
"Kirti M. Doongursee College,","NMITD Building, Ground Floor, Room No. E 2, Kashinath Dhuru Road (North), Dadar, Mumbai-28",Yes,Yes,No,19.0208223,72.83090600000001
"National Skill Training  Institute For Women,","Gr. Floor, Room No. 1, Sva. Veer Savarkar Marg (East), Dadar, Mumbai 28",No,Yes,Yes,19.0247645,72.8354943
"Mumbai Public School,","Gokhale Road Room  No. 3, Dadar, Mumbai 28",Yes,No,Yes,19.03172,72.84182659999999
"Maharashtra High School No. 2,","Gr. Floor, Room No. 6 Pri. Raosaheb N. M. Kale Marg, Dadar, Mumbai- 28",Yes,Yes,No,19.0172173,72.8341468
"Gokhale Road (South), Mumbai Public School","Ground Floor, Room No. 09 Baburao Parulekar Marg, Dadar, Mumbai - 28",No,No,Yes,19.0157427,72.8363928
Convent Girls School,"Gr. Floor, Room No. 1A Kakasaheb Gadgil Marg, Prabhadevi, Mumbai - 25",Yes,Yes,No,19.015536,72.8323769
Reserve Bank Officers Quarters Building,"Flat No. 1 to 20, Stilt Parking - A (Soth-East Side) Sonapur Lane, Prabhadevi, Mumbai - 25",Yes,No,No,19.0215803,72.8172895
Kalptaru Building,"Stilt Parking, Partition-C Sangitaratna Eknath Buva Hatisakar Marg, Prabhadevi, Mumbai - 25",No,No,Yes,19.0167728,72.8246082
"Maharashtra ,kamagar Kalyan Kendra","Gr. Floor, Prabhadevi New Prabhadevi Road, Prabhadevi, Mumbai - 25",Yes,No,No,19.0101827,72.8296312
"Mumbai Public School, Prabhadevi, Marathi Medium  School,","Gr. Floor, Room No. 01, Murari Ghag Marg,Prabhadevi, Mumbai-25",Yes,No,Yes,19.0139592,72.8269225
"Murari Ghag Ground, Open Space","(pendol Partition-A) Murari Ghag Marg, Prabhadevi, Mumbai - 25",No,Yes,Yes,19.0145638,72.82666499999999
Murari Ghag Ground,"Open Space, (pendol Partition-D)Murari Ghag Marg, Prabhadevi, Mumbai - 25",Yes,No,Yes,19.0145638,72.82666499999999
SHETH DAMODAR MADHAVJI CHARITY TRUST DAMUL NIWAS,"GR.FLOOR HALL NO 2 BHULABHAI DESAI ROAD, MUMBAI-26",Yes,Yes,Yes,18.964781,72.80471519999999
SHIVSHANKAR BUILDERS AND DEVELOPERS (TULSIDAS GOPALJI TRUST),"OPEN GROUND NEAR MARRIAGE HALL, PARTITION-1 Bhulabhai Desai road Mumbai 400026",No,No,No,18.969175,72.8077409
MODEL CO.-OP.HOUSING SOCIETY HALL (SAHAKAR NIWAS),GR. FLOOR  102 PANDIT  MADAN MOHAN MALVIA ROAD TARDEO MUMBAI 400034,No,No,Yes,18.9734056,72.8141971
SHRI. B.P.K. SAHAKARI VIDYA MANDIR,"GROUND FLOOR, STD.10TH CLASS PANDIT MADAN MOHAN MALVIA ROAD TARDEO MUMBAI 400034",No,Yes,No,18.9739185,72.8136752
"SHRI. B.P.K. SAHAKARI VIDYA MANDIR,","GROUND FLOOR, STD.9TH/A CLASS  PANDIT MADAN MOHAN MALVIA ROAD TARDEO MUMBAI 400034",Yes,No,No,18.9739185,72.8136752
"Shri B.P.K Sahakari Vidya Mandir,","GROUND FLOOR, COMPUTER ROOM  PANDIT  MADAN MOHAN MALVIA ROAD TARDEO MUMBAI 400034",No,No,No,18.9739185,72.8136752
Victoria Memorial School for the blind,"HALL, GROUND FLOOR PANDIT MALVIA ROAD, MUMBAI -034",No,No,Yes,19.1719565,72.9442938
victoria Memorial School for the blind,"Seminal Hall, Pandit Malvia road, Tardeo, Mumbai-34",Yes,No,Yes,19.0996348,72.849108
R.T.O OFFICE,"NEAR  P.R.O OFFICE ROOM NO 1 GROUND FLOOR, R.T.O BODYGUARD LANE MUMBAI-34",No,Yes,Yes,18.9738057,72.817572
R.T.O. Office,CANTEEN GROUND FLOOR R.T.O BODYGUARD LANE MUMBAI 34,Yes,No,No,19.0759837,72.8776559
R.T.O. OFFICE,"C Block Hall Partition 1 Ground Floor,R.T.O. BODYGUARD LANE MUMBAI 34",No,Yes,No,19.0759837,72.8776559
YUSUF MEHAR ALI SCHOOL,"ROOM NO. 2, STD. 10-A CLASS, GROUND FLOOR Tulshiwadi road Mumbai 400 034",No,Yes,No,18.9736384,72.8181971
Sadhana Building Society,Ground Floor Parking no.1 Navaroji Gamadia Marg Mumbai 26,Yes,No,No,18.9742272,72.8089416
ACTIVITY HIGH SCHOOL,"GROUND FLOOR, STD. 1ST, NEAR MONTESARY MAIN  Navaroji Gamadia Road Mumbai 026",Yes,Yes,Yes,18.9744258,72.8079111
BHAUSAHEB HIRE VIDYALAYA INTERNATIONAL SCHOOL,PARKING PASSAGE PART ROOM NO 10 GROUND FLOOR M P MILL COMPOUND B.B. NAKASHE MARG Tardeo MUMBAI 34,Yes,Yes,Yes,18.9722523,72.8135969
JANATA KENDRA HALL,"PARTITION-1, GROUND FLOOR Narayan Tawde Chowk near Tulshiwadi post office Tardeo Mumbai 034",Yes,No,No,18.9747163,72.8139964
SIR COWASJEE JAHANGIR HIGH SCHOOL,GROUND FLOOR HALL  Sir Ratan Tata road Mumbai 034,Yes,No,No,18.9720523,72.816199
TARDEO MUNICIPLE UPPER PRIMARY MARATHI SCHOOL,"GROUND FLOOR, ROOM NO.14 SANE GURUJI MARG MUMBAI 034",No,No,No,18.982602,72.827901
"SAMAJ MANDIR GYMKHANA, (STAGE)","GROUND FLOOR, POLICE QTRS M P Mill compound Mumbai 034",No,Yes,Yes,18.9707455,72.8139507
TARDEO POLICE VASAHAT,"BALWADI BUILDING NO. 2, ROOM NO. 2. M P MILL COMPOUND, TARDEO, MUMBAI 034",Yes,No,Yes,18.9704832,72.81397849999999
SHANTI DEVI BANARJI SCHOOL,"THE WATCHMAN STAFF ROOM, FAUKLAND ROAD LOW LEVEL MUMBAI 034",No,Yes,Yes,18.9622736,72.82263220000002
LADY ENGINEERING HIGH SCHOOL,"GROUND FLOOR, STD. 7TH Gamadia Colony Mumbai 400007",Yes,No,No,18.9689705,72.8124046
GARTAN GIRLS HIGH SCHOOL,"GROUND FLOOR, NURSERY CLASS ROOM Naushir Bharucha Marg Mumbai 07",Yes,Yes,Yes,18.9192294,72.8285501
SUDATTA HIGH SCHOOL,"INDIRABAI KALYANPURKAR HALL, GROUND FLOOR, ROOM NO 01 235 Javji Dadaji road Mumbai 07",Yes,Yes,No,19.0759837,72.8776559
GREEN LAWNS HIGH SCHOOL,"GROUND FLOOR, NURSERY .1 Bomanaji Petit road Mumbai 026",No,Yes,Yes,18.9893319,72.837868
"SUDATTA HIGH SCHOOL, (INDIRABAI KALYANPURKAR HALL) PART 3",GROUND FLOOR Tukaram Javji road Mumbai 07,Yes,Yes,No,18.9653511,72.81450269999999
Shreemat Anandashram Hall Ground floor,"PARTITION 1 BEHIND SUDATTA HIGH SCHOOL TUKARAM JIVAJI ROAD, MUMBAI-07",Yes,No,No,18.9371782,72.8348548
shreemat Anandashram Hall,"PARTITION 2 HALL GROUND FLOOR, BEHIND SUDATTA HIGH SCHOOL, TUKARAM JAVJI ROAD MUMBAI 07",Yes,No,No,18.9653485,72.8145176
UNIVERSAL HIGH SCHOOL,"JR. KG B ROOM, OPP. PRINCIPLES CHEMBER, GROUND FLOOR. Tukaram javji road Mumbai 07",No,No,Yes,18.9653511,72.81450269999999
RAJASTHANI MAHILA MANDAL SANCHALIT (ADARSH VIDYALAY),"GROUND FLOOR, HALL-A V N Road Mumbai 36",Yes,No,No,18.9329803,72.8271991
RAJASTHANI MAHILA MANDAL,"Canteen Room,  V N Road Mumbai 36",Yes,Yes,Yes,18.9329803,72.8271991
VILA TERESA CONVENT SCHOOL,GROUND FLOOR CANTEEN PARTITION-1 (NEW BUILDING) Dr. Gopalrao Deshmukh Road Mumbai 026,Yes,Yes,Yes,18.9715741,72.8094346
"VILA TERESA CONVENT SCHOOL,","GROUND FLOOR classroom, ROOM No.-04 Dr. Gopalrao Deshmukh Road Mumbai 026",Yes,Yes,No,18.9776726,72.810045
"NEW MODEL INFANT SCHOOL,","GROUND FLOOR, ROOM NO.1 Bhulabhai Desai Road Mumbai 026",No,No,Yes,18.969175,72.8077409
"JAGANNATH SHANKARSHETH BMC MARATHI SCHOOL,","ROOM NO.7, GROUND FLOOR JAGANNATH SHANKARSHETH CHOWK,FAIRE BRIDGE LOW LEVEL MUMBAI 07",Yes,Yes,Yes,19.175509,72.95743209999999
NEW MODEL INFANT SCHOOL,INFANTS A GROUND FLOOR Bhulabhai Desai Road Mumbai 026,Yes,Yes,Yes,18.9762458,72.8073464
"FELLOWSHIP HIGH SCHOOL, (MAITRY SADAN)",GROUND FLOOR HALL PARTITION -1 August Kranti Marg Mumbai 036,Yes,No,No,18.9635828,72.81025799999999
AASHRAYA ABHYASIKA,GROUND FLOOR SHED 60 Khemraj Krishnadas Marg Mumbai 04,Yes,Yes,Yes,19.0759837,72.8776559
"KAMABALA HILL ENGLISH HIGH SCHOOL,","GROUND FLOOR, ROOM NO. 1 Darbasha road Mumbai 06",No,Yes,No,19.1180869,72.8227161
NEW ERA SCHOOL,"GROUND FLOOR, STD 5TH A Justice Sitaram Patkar road Mumbai 07",No,No,Yes,19.1696069,72.847276
"SEVA SADAN SOCIETY,","RAMABAI NAVRANGE ADHYAPIKA, GROUND FLOOR, (SECOND YEAR)-B Pandita Ramabai Road Mumbai 07",No,Yes,No,19.0962103,72.8949392
EDUBRIDGE INTERNATIONAL SCHOOL (ROBERT MONEY HIGH SCHOOL OLD BUILDING),"GROUND FLOOR, ROOM NO.1, wadilal Patel Marg Mumbai-07",No,Yes,Yes,19.1180869,72.8227161
"EDUBRIDGE INTERNATIONAL SCHOOL (ROBERT MONEY HIGH SCHOOL OLD BUILDING),","GROUND FLOOR, PARTITION 1, Wadilal Patel Marg, Mumbai 07",Yes,No,No,18.9570907,72.8202241
